0,#,Account,Peer followers
273,273.,"Arrate Aparicio@Arrate_FiloDoctora  en Filosofía (@UCOMILLAS). Unamunóloga. Transcripción, edición y estudio de manuscritos inéditos. Graduada en Humanidades (@deusto).researchgate.net/profile/Arrate…Google Scholar page3 years on TwitterRecent tweets: 19% new, 49% replies, 29% retweets, 4% quotesOn 38 user lists6,314 followers",79
274,274.,"Christina Hendricks@clhendricksbcPhilosophy  prof U of British Columbia, Canada. Open education, equity & inclusion, accessibility, among others. She/her. Also: scholar.social/chendricksVancouver, BC, Canadachristinahendricks.caGoogle Scholar page11 years on TwitterRecent tweets: 16% new, 31% replies, 50% retweets, 4% quotesOn 187 user lists2,568 followers",79
275,275.,"Amber Bowen@amber_bowenPhD  (University of Aberdeen) • Assistant Professor of Philosophy & Core  Studies @RedeemerUniv • Kierkegaard • Phenomenology • Philosophical HermeneuticsHamilton, Ontario9 years on TwitterRecent tweets: 31% new, 51% replies, 7% retweets, 12% quotesOn 32 user lists3,046 followers",78
276,276.,"Sabine Döring@sabinedoeringProfessor of Philosophy, @uni_tue, Ethics and the Theory of Practical Reason with an Emphasis on the Emotions, Horsessabinedoering.deGoogle Scholar page12 years on TwitterRecent tweets: 7% new, 75% replies, 8% retweets, 10% quotesOn 33 user lists4,808 followers",77
277,277.,"Sarah Bakewell@Sarah_BakewellAuthor of 'At the Existentialist Cafe', 'How to Live: a life of Montaigne', & so on.sarahbakewell.com12 years on TwitterRecent tweets: 14% new, 45% replies, 28% retweets, 12% quotesOn 153 user lists4,729 followers",76
278,278.,"Inês Hipólito@ineshipolitoCog  Scientist on the sweet intersection between enactivism, complexity and FEP @MindaBrain @HumboldtUni & @UvA_Amsterdam; complexity wanderer & psychonautBerlin, Germanyineshipolito.orgGoogle Scholar page12 years on TwitterRecent tweets: 12% new, 61% replies, 15% retweets, 11% quotesOn 25 user lists1,815 followers",75
279,279.,"Prof Catherine Rowett 💚 Ex-MEP@catherinerowettPhilosopher. Former Green MEP. @TheGreenParty spokesperson on work & welfare, and Deputy coordinator, Eastern Region. *The name Rowett rhymes with poet.Norwichcatherinerowett.org8 years on TwitterRecent tweets: 8% new, 33% replies, 49% retweets, 10% quotesOn 133 user lists6,306 followers",74
280,280.,"Mariarosaria Taddeo@RosariaTaddeoAssociate Professor, Senior Research Fellow, OII, Oxford | Dstl Ethics Fellow at theTuring Institute| EiC Minds & MachinesUnited Kingdomrosariataddeo.netGoogle Scholar page8 years on TwitterRecent tweets: 17% new, 13% replies, 46% retweets, 24% quotesOn 202 user lists6,092 followers",74
281,281.,"Laura Kennedy@LooraKennedyFreelance writer, doctorate in philosophy, columnist @IrishTimesMag, Contributing Beauty Editor @TheSTStyle kennedlaur@gmail.comLondon, via Limerick/Dublinpatreon.com/lkennedy8 years on TwitterRecent tweets: 26% new, 45% replies, 23% retweets, 5% quotesOn 61 user lists9,896 followers",73
282,282.,"dr elese@elesebdowdentheorist-writer-poet / recovering philosopher @aposthumanities 🌈 pākehā in naarm via tāmakilinktr.ee/elesebdGoogle Scholar page5 years on TwitterRecent tweets: 29% new, 27% replies, 43% retweets, 1% quotesOn 11 user lists1,427 followers",72
283,283.,"Dr. Pauline Shanks Kaurin@KaurinShanksPhilosopher.  Professor. Military Ethics, JWT, Ethics of Political Violence. RTs = points to discuss/reflect. Tweets my views alone. Not my first rodeo. She/her.in your mindshankskaurin.wordpress.com3 years on TwitterRecent tweets: 4% new, 9% replies, 72% retweets, 15% quotesOn 99 user lists4,686 followers",70
284,284.,"Falguni Sheth@FalguniShethSocial critic, philosopher, feminist race theorist, political analyst, public writer on Nat Sec, Gtmo, & other politics.my desktranslationexercises.wordpress.com12 years on TwitterRecent tweets: 31% new, 49% replies, 8% retweets, 12% quotesOn 114 user lists3,347 followers",70
285,285.,"JS Blumenthal-Barby@BlumenthalBarbyPhilosopher bioethicist. Cullen Professor @BCMEthics. Associate Editor @JME_BMJ and AJOB @bioethics_net. views my own. #firstgenHouston, TXjenniferblumenthalbarby.wordpress.comGoogle Scholar page10 years on TwitterRecent tweets: 17% new, 30% replies, 43% retweets, 10% quotesOn 18 user lists1,187 followers",70
286,286.,"Elena Postigo@PostigoElenaProfesora de Filosofía y Bioética, PhD. Directora Instituto de Bioética UFV | #IdeasBioética, #IdeasMarginales | Research in Bioethics of emerging technologies.Madrid, Spainscholar.google.es/citations?user…10 years on TwitterRecent tweets: 6% new, 39% replies, 47% retweets, 7% quotesOn 272 user lists13,567 followers",69
287,287.,"Ruth E. Kastner@rekastnerResearching  the Transactional Interpretation of Quantum Theory. 'That which can be destroyed by the truth, should be.' -P. C. Hodgelltransactionalinterpretation.org12 years on TwitterRecent tweets: 16% new, 13% replies, 66% retweets, 6% quotesOn 122 user lists2,705 followers",69
288,288.,"Susan Dodds@ProfSDoddsFeminist,  bioethicist, political philosopher. Research & Industry Engagement @latrobe Sometime Tasmanian. Animal person. Views my own; She/herWurundjeri & muwinina countrylatrobe.edu.auGoogle Scholar page6 years on TwitterRecent tweets: 32% new, 25% replies, 39% retweets, 4% quotesOn 33 user lists1,594 followers",68
289,289.,"Jane Dryden@janedrydenPhilosophy  prof, Mount Allison University. vulnerability, autonomy, disability, feminist philosophy, German idealism, gut microbiome, neurodiversity. she/her.Sackville, NBjanedryden.weebly.comGoogle Scholar page13 years on TwitterRecent tweets: 4% new, 15% replies, 74% retweets, 8% quotesOn 28 user lists1,050 followers",68
290,290.,"Sara@vermeulen_saraPhD  candidate @tudelftTBM | Philosophy| Responsibility in climate adaptation | Resilience, water & bioethics | Climate justice = social justice📚🌍🌱linkedin.com/mwlite/in/sara…Google Scholar page8 years on TwitterRecent tweets: 12% new, 7% replies, 74% retweets, 7% quotesOn 14 user lists1,248 followers",64
291,291.,"Professor Arianna Betti@ariannabettiFull  Prof & Chair of Philosophy UvA | qualitative ('model approach'), quantitative & computational history of philosophy | views strictly my own | non-binaryAmsterdamconceptsinmotion.org11 years on TwitterRecent tweets: 4% new, 12% replies, 79% retweets, 6% quotesOn 68 user lists1,068 followers",63
292,292.,"Dr. Cindy@Scheopnerpersonal  account • views not representative of employer or extended family • research compliance • word farmer • free-range philosopher • traveler • JD/PhDOn a boat, O‘ahu, Hawai‘i13 years on TwitterRecent tweets: 4% new, 12% replies, 81% retweets, 4% quotesOn 157 user lists4,219 followers",62
293,293.,"Shannon E. French🌻@SEFrenchPhilosophy  Prof, International Ethics Center Director, Author of Code of the Warrior. Military Ethics, Ethics & Technology. Views are only mine; RTs are not Es.Cleveland, Ohio, USAcase.edu/inamori/13 years on TwitterRecent tweets: 6% new, 40% replies, 35% retweets, 19% quotesOn 57 user lists4,001 followers",62
294,294.,"judith simon@jud1ths1monProfessor for Ethics in Information Technologies @ University of HamburgHamburg, Deutschlandinf.uni-hamburg.de/en/inst/ab/eit…8 years on TwitterRecent tweets: 8% new, 53% replies, 29% retweets, 10% quotesOn 67 user lists2,179 followers",61
295,295.,"Meena Dhanda@DhandaMeenaProfessor  of Philosophy & Cultural Politics @wlv_uni; views personal; anti-casteism, anti-racism, anti-chauvinism; PI supervising @CasteFreeH2020 #AndolanJiviWolverhampton, Englandresearchers.wlv.ac.uk/M.DhandaGoogle Scholar page8 years on TwitterRecent tweets: 18% new, 19% replies, 53% retweets, 11% quotesOn 14 user lists2,049 followers",60
296,296.,"elisa freschi@elisa_freschiSanskrit (and) philosophy. Permanently in beta phase. Blogging at elisafreschi.com and indianphilosophyblog.org. Articles at academia.edu Here to learn & shareelisafreschi.comGoogle Scholar page2 years on TwitterRecent tweets: 5% new, 89% replies, 3% retweets, 3% quotesOn 24 user lists2,125 followers",59
297,297.,"Emily Ryall@emilyryallPhilosopher  of sport, play and games. Official job title: 'Reader in Applied Philosophy'. Author of Philosophy of Sport: Key Questions.Forest of Deanemilyryall.netGoogle Scholar page13 years on TwitterRecent tweets: 18% new, 41% replies, 23% retweets, 18% quotesOn 63 user lists1,576 followers",59
298,298.,"merce garcia F@merceg1Professora de filosofiaManresa ( Barcelona)10 years on TwitterRecent tweets: 5% new, 5% replies, 91% retweets, 0% quotesOn 42 user lists2,366 followers",58
299,299.,"Dr Áine Mahon@AineMarieMahonLecturer  in Philosophy of Education at University College Dublin, writing on Higher Education in the Irish & international context. Dúil agam sa Ghaeilge.people.ucd.ie/aine.mahon1 year on TwitterRecent tweets: 2% new, 65% replies, 31% retweets, 2% quotesOn 9 user lists1,865 followers",58
300,300.,"Emily Qureshi-Hurst@equreshihurstJunior  Research Fellow at @PembrokeOxford @UniofOxford | Science and Religion |  Philosophy of Religion | Philosophy of Time & more.. | she/her 🏳️‍🌈Oxford, Englandphilosophy.ox.ac.uk/people/emily-q…Google Scholar page4 years on TwitterRecent tweets: 50% new, 25% replies, 23% retweets, 3% quotesOn 15 user lists1,441 followers",58
301,301.,"Diane O'Leary, PhD@DianeOLearyPhilosophy  of medicine/phil of mind/bioethics. Rct visiting faculty @Center4PhilSci & @RotmanPhilo. Smtms disabled by chronic disease. Happy #IndependentScholarPrettyHowTowndianeoleary.com12 years on TwitterRecent tweets: 1% new, 93% replies, 3% retweets, 3% quotesOn 17 user lists1,673 followers",54
302,302.,"Maija-Riitta Ollila@MrollilaPhilosopher, non-fiction writer.Espoo, Finland7 years on TwitterRecent tweets: 13% new, 23% replies, 59% retweets, 5% quotesOn 62 user lists3,380 followers",52
303,303.,"Dr. Beck Pitt@BeckPitt@OER_Hub researcher and philosopher based @IETatOU @OpenUniversity. Current projects @GOGN_OER, EMC-LM & #TIDEMyanmar.UKiet.open.ac.uk/people/beck.pi…11 years on TwitterRecent tweets: 5% new, 4% replies, 87% retweets, 5% quotesOn 248 user lists3,147 followers",52
304,304.,"Catherine Pickstock@pickstockcPhilosophy of Religion at Cambridge3 years on TwitterRecent tweets: 53% new, 15% replies, 21% retweets, 11% quotesOn 36 user lists3,767 followers",51
305,305.,"CynthiaRogandeRamire@CynthiaRogandeRPhilosophy,  interested in a better world. I study the good (art, compassion, empathy) & the bad (violence, rape, narcissism).9 years on TwitterRecent tweets: 0% new, 0% replies, 100% retweets, 0% quotesOn 14 user lists2,280 followers",51
306,306.,"Dr. Jane Clare Jones 🦕@janeclarejonesWriter.  Philosopher. Feminist. Princeologist. Daughter of the witches they forgot to burn. @fem_thought. @radical_notion. #ProfessionalAntiBullshitMerchantBrighton, UKjaneclarejones.comPatreon page11 years on TwitterRecent tweets: 2% new, 58% replies, 29% retweets, 11% quotesOn 242 user lists52,375 followers",50
307,307.,"Yuko Murakami@yukoimPhilosopher  of information interested in science and society. Laid-back style. Executive member of several phil assoc's in Japan. 村上祐子．睡眠死守．District of ethnic restaurantsresearchmap.jp/read0140800/12 years on TwitterRecent tweets: 10% new, 14% replies, 68% retweets, 8% quotesOn 218 user lists3,232 followers",49
308,308.,"Dr. Angela Roothaan@AngelaRoothaanResearch:  African & Intercultural Philosophy, Spirit Ontologies, Politics of Epistemology | Teaching @VUamsterdam | Blog practicing involved philosophy //angelaroothaan.wordpress.com8 years on TwitterRecent tweets: 13% new, 28% replies, 28% retweets, 31% quotesOn 14 user lists1,237 followers",49
309,309.,"Carina Prunkl@carinaprunklResearch Fellow @EthicsInAI @UniofOxford | AI Ethics and Policy | Philosophy and Physicscarinaprunkl.comGoogle Scholar page3 years on TwitterRecent tweets: 22% new, 25% replies, 31% retweets, 22% quotesOn 33 user lists1,210 followers",49
310,310.,"Sarah Lilly (Heidt) Eaton@sarahlillyheidtFormer professor of religion and philosophy, former seminary Dean, destination expertHashemite Kingdom of Jordanlinkedin.com/in/sarah-eaton…11 years on TwitterRecent tweets: 23% new, 35% replies, 38% retweets, 5% quotesOn 56 user lists1,543 followers",47
311,311.,"Emily Lawson@emilylawsonpoetPhD  student @ubcphilosophy. Indian philosophy, aesthetics, death. Poems: @SixthFinch @thrushjournal @IndianaReview etc Fiction: @BoothAJournal. Cancer survivor.Vancouver, British Columbia6 years on TwitterRecent tweets: 8% new, 28% replies, 50% retweets, 14% quotesOn 10 user lists1,218 followers",47
312,312.,"joana rita sousa 🦄 💩💎 (she/her/ela/a)@JoanaRSSousa💬 filósofa | philosopher 🧠 perguntóloga | questionlogist 🧩 @filocri_p4c 🎢 fundadora e moderadora 👉 #twitterchatpt 📱 live tweeterinfo@joanarita.eulinktr.ee/joanarssousa13 years on TwitterRecent tweets: 43% new, 33% replies, 21% retweets, 3% quotesOn 407 user lists18,030 followers",46
313,313.,"Sabrina Little@sabrinablittlePhilosopher  at Morehead State. Ethics and Moral Psych. Trail & Ultra Runner for  @HOKA. 5x National Champion. World Silver Medalist. Connoisseur of Toothpastes.Morehead, KYsabrinalittle.com11 years on TwitterRecent tweets: 32% new, 55% replies, 8% retweets, 4% quotesOn 130 user lists4,940 followers",45
314,314.,"MarnieHW@Marnie_HWDVC  Research & Enterprise, @UniversitySA. Honorary Professor @ANU. History/philosophy. Current book projects: Machine-Made Histories; History from Loss.Adelaide, Kaurna Countrypeople.unisa.edu.au/Marnie.Hughes-…Google Scholar page8 years on TwitterRecent tweets: 14% new, 45% replies, 36% retweets, 6% quotesOn 64 user lists4,321 followers",45
315,315.,"Gloria Origgi@gloriaoriggiParis based philosopher, writer. Researcher at CNRS, Institut NicodFrancegloriaoriggi.blogspot.comGoogle Scholar page13 years on TwitterRecent tweets: 44% new, 21% replies, 35% retweets, 2% quotesOn 63 user lists1,482 followers",45
316,316.,"Josette Daemen@JosetteDaemenvery  political philosopher | phd student @PolSciLeiden | graduated @UniofOxford | editor @filosofieblog | works on the ethics of security/zekerheidLeiden, Den Haag, Maastrichtuniversiteitleiden.nl/en/staffmember…Google Scholar page2 years on TwitterRecent tweets: 8% new, 65% replies, 20% retweets, 6% quotesOn 25 user lists3,655 followers",44
317,317.,"Katerina Katarina Kolozova@kkolozovateacherParis, France12 years on TwitterRecent tweets: 58% new, 22% replies, 13% retweets, 8% quotesOn 42 user lists2,508 followers",44
318,318.,"Marta Tafalla@TafallaMartaWriting  & teaching Philosophy at Universitat Autònoma de Barcelona: environmental aesthetics, environmental ethics, rewilding, animal rights, human rights.Earth, Solar System, Milky Waygent.uab.cat/marta.tafalla/Google Scholar page9 years on TwitterRecent tweets: 14% new, 7% replies, 76% retweets, 4% quotesOn 219 user lists8,903 followers",42
319,319.,"Sofia Blanco Sequeiros 🇺🇦@sofia_blancosTieteenfilosofiaa,  kirjallisuushommia ja urheilua || PhD student in philosophy @helsinkiuni, scientific evidence and public policy || writer || she/herHelsinkisofiabla.comGoogle Scholar page8 years on TwitterRecent tweets: 5% new, 50% replies, 36% retweets, 9% quotesOn 11 user lists1,441 followers",41
320,320.,"Evelien Geerts, PhD@EGeertsPhDMultidisciplinary  philosopher (PhD @ucsc). Postdoc @unibirmingham. Political philosophy/epistemology/new materialisms/STS. Meme & kitten & ADHD queen. She/they.Antwerp, Belgiumlinktr.ee/egeertsGoogle Scholar page13 years on TwitterRecent tweets: 37% new, 6% replies, 51% retweets, 6% quotesOn 13 user lists1,268 followers",41
321,321.,"Fiona Fidler@fidlerfmMetascience @MetaMelb * history & philosophy of science * conservation decision making * @replicats project * my own viewsMelbourne, Australiametamelb.orgGoogle Scholar page12 years on TwitterRecent tweets: 7% new, 47% replies, 33% retweets, 12% quotesOn 55 user lists2,372 followers",40
322,322.,"Filippa Ronquist@FilippaRonquistPhilosophy PhD candidate @UCL (@LAHP_DTP) | skriver ibland, för tillfället på Folkbladet Västerbotten | swe/engStockholm, Sweden8 years on TwitterRecent tweets: 16% new, 57% replies, 25% retweets, 3% quotesOn 7 user lists2,228 followers",39
323,323.,"Sophia Crüwell@cruwelliPhilosophy of Science @CambridgeHPS @stjohnscam | Metaresearch @METRIC_Berlin | prev @ResMaPsychology | co-host @ReproducibiliTcruwell.comGoogle Scholar page4 years on TwitterRecent tweets: 10% new, 48% replies, 33% retweets, 9% quotesOn 30 user lists1,785 followers",39
324,324.,"Jessica Masterson@jlmastersonPhilosophy PhD student. Applied ethics📚 Vegan.England, United Kingdom12 years on TwitterRecent tweets: 18% new, 45% replies, 27% retweets, 10% quotesOn 25 user lists6,165 followers",37
325,325.,"Masashi Kasaki@kasa12345Philosopher. Blog (in Japanese) nonameblog.seesaa.netHiroshima, Japansites.google.com/site/masashika…12 years on TwitterRecent tweets: 30% new, 31% replies, 33% retweets, 6% quotesOn 145 user lists4,168 followers",37
326,326.,"Olya Kudina@OlyaKudina🇺🇦  🇳🇱 #StandWithUkraine Assistant Professor in Ethics/Philosophy of Technology at @tudelft. Help UA (humanitarian aid, etc.): https://t.co/FtWpwrlQBSUtrechtolyakudina.comGoogle Scholar page12 years on TwitterRecent tweets: 16% new, 61% replies, 7% retweets, 15% quotesOn 29 user lists1,082 followers",37
327,327.,"Josefa Ros Velasco@JosefaRosUCMEstudios  de #Aburrimiento | @MSCActions Postdoc | @HarvardRLL/@FilosofiaUCM Postdoc (2017-2021) | Presidenta @BoredomSociety | Educadora @AlternativaEden.Madrid, Comunidad de Madridjosefarosvelasco.comGoogle Scholar page1 year on TwitterRecent tweets: 4% new, 45% replies, 51% retweets, 0% quotesOn 31 user lists2,498 followers",36
328,328.,"Ana Carrasco-Conde@ACConde_Profesora  de Filosofía (@unicomplutense) | De Jonia a Jena | Últ. libro “Decir el  mal” (2021) @G_Gutenberg | Incordio en @lamarea_com | Aprendo lenguas muertasEntre grietasanacarrascoconde.com11 years on TwitterRecent tweets: 30% new, 29% replies, 31% retweets, 10% quotesOn 119 user lists11,265 followers",35
329,329.,"Ana de Lacalle Ferná@AnalacDeprofesora de filosofiabarcelonafilosofiadelreconocimiento.com10 years on TwitterRecent tweets: 100% new, 0% replies, 0% retweets, 0% quotesOn 45 user lists1,459 followers",34
330,330.,"Liva Rotkale@rotkaleLatvian  peripatetic philosopher PhD. Condemns radicalisation, anti-intellectualism, simplification, false dichotomies. Loves and seeks  the truth.Riga, Latviadoi.org/10.5334/met.133 years on TwitterRecent tweets: 30% new, 37% replies, 29% retweets, 4% quotesOn 12 user lists1,184 followers",34
331,331.,"Lucia C. Neco (Luba)@lucianecooBiologist,  Master in Animal Behavior and PhD Candidate in Philosophy of Biology at  @uwanews - Luba no Canal Comporta (🇧🇷) #divulgaçãocientíficaPerth, WA - Australialuciacneco.weebly.comGoogle Scholar page12 years on TwitterRecent tweets: 28% new, 36% replies, 31% retweets, 6% quotesOn 25 user lists1,025 followers",34
332,332.,"Tamar Sharon@TamarSharonProfessor of Philosophy, Digitalization and Society. Co-director at @ihub_ru. Politics and ethics of digital (health) tech.Nijmegen, NLradboud.academia.edu/TamarSharonGoogle Scholar page11 years on TwitterRecent tweets: 14% new, 43% replies, 36% retweets, 6% quotesOn 22 user lists1,020 followers",34
333,333.,"Jennifer@philosophyjennAdjunct faculty in philosophy, free-thinker, secular humanist, science-lover, sceptic, blogger, religious critic, atheist1 year on Twitter until last tweet (2013-Jul-18)Recent tweets: 41% new, 1% replies, 58% retweets, 0% quotesOn 218 user lists10,935 followers (follows 1.27 accounts per follower)",33
334,334.,"Lois Shawver, Ph.D.@jolanzaRetired  clinical psychologist, author of 2 books & many more articles &book chapters. More coming. Strong background in western philosophy & postmodernism.CaliforniaWittgenstein.info6 years on Twitter until last tweet (2016-Mar-13)Recent tweets: 88% new, 9% replies, 3% retweets, 0% quotesOn 417 user lists3,472 followers",33
335,335.,"Giada Pistilli@GiadaPistilliPh.D.  Candidate in Philosophy (Conversational AI Ethics) @Sorbonne_Univ_ & @CNRS · Research Engineer @lespetitsbots · 🌸 @BigscienceWParisgiadapistilli.comGoogle Scholar page8 years on TwitterRecent tweets: 35% new, 22% replies, 35% retweets, 8% quotesOn 11 user lists1,221 followers",31
336,336.,"Prof. Amanda Fulford@MJFulfordProfessor  of philosophy of education/ higher education. Assoc. Dean Research & Impact at Edge Hill University. Chair elect of PESGB. Re-tweets for many reasons.dramandafulford.wordpress.com10 years on TwitterRecent tweets: 8% new, 37% replies, 54% retweets, 2% quotesOn 41 user lists1,368 followers",30
337,337.,"شيخة الجاسم@ShaikhaBinjasimYou can find me at the Philosophy dept. @K_University PhD @UVA غاسلة ايديKuwaitreachnetwork.co/dr-shaikha-bin…11 years on TwitterRecent tweets: 24% new, 53% replies, 15% retweets, 7% quotesOn 142 user lists76,495 followers",27
338,338.,"Marina Garcés@MarinaGarcesper una filosofia de guerrilles...marinagarces.com10 years on TwitterRecent tweets: 18% new, 6% replies, 56% retweets, 20% quotesOn 425 user lists43,979 followers",25
339,339.,"hilzoy@hilzoyEthics R Us.Baltimore12 years on TwitterRecent tweets: 7% new, 29% replies, 31% retweets, 34% quotesOn 104 user lists4,740 followers",25
340,340.,"Dr. Wanyoung Kim ⚛️🌊🤍@astral_monad📚 Writer/Editor. Philosophy PhD ✍️ Web Developer👨‍💻Clinical Psych grad student 🛋️ Catholic⛪Tea lover 🍵egs.academia.edu/wanyoungkim6 years on TwitterRecent tweets: 38% new, 53% replies, 5% retweets, 4% quotesOn 14 user lists1,602 followers",25
341,341.,"Roxanne Desforges@RoxanneDes4gesUsing technology to create learning experiences that empower all peoples | Founding partner at @PurenAppliedgr | She/her.Montreal, Qclinkedin.com/in/roxannedesf…Google Scholar page11 years on TwitterRecent tweets: 60% new, 28% replies, 7% retweets, 5% quotesOn 104 user lists1,955 followers",24
342,342.,"Sunaina Arya@Su_philosAuthor  #DalitFeministTheory📚Honourable.Mention @BluestoneRisingScholar👩🏻‍🎓2019| Guest Editor, jCASTE @BrandeisU USA🇺🇸 PhD.Fellow #PHILOSOPHY-JNU India🇮🇳New Delhi, Indiaamazon.in/dp/0367438410/…4 years on TwitterRecent tweets: 5% new, 5% replies, 89% retweets, 2% quotesOn 10 user lists1,736 followers",24
343,343.,"Dr H Brunskell-Evans@brunskellevansPhilosopher. Co-founder of Women's Declaration International @DeclarationOn Book: Transgender Body Politics (2020)United Kingdomheather-brunskell-evans.co.uk9 years on TwitterRecent tweets: 12% new, 2% replies, 81% retweets, 4% quotesOn 81 user lists13,013 followers",23
344,344.,"Itır Erhart@itirerhartProf. in Communication @bilgiofficial ,  co-founder @adimadimAAO & @acikacik_ , @ashoka fellow, partner @inogarofficial @ihtiyacharitasi @begojeansIstanbul, Turkeyadimadim.orgGoogle Scholar page10 years on TwitterRecent tweets: 34% new, 15% replies, 40% retweets, 10% quotesOn 122 user lists9,526 followers",22
345,345.,"Sonia Sikka@SoniaSikka4Professor, Philosophy Department, University of Ottawa Philosophy of religion, multiculturalism, German philosophy. Views are personal.Ottawa2 years on TwitterRecent tweets: 0% new, 68% replies, 29% retweets, 3% quotesOn 19 user lists3,731 followers",22
346,346.,"pienso,luegotuiteo@PLuegotuiteoProfesora de Filosofía, Psicología y Valores Éticos. Formar a personas autónomas, no autómatas.Alcalá de Henares, España4 years on TwitterRecent tweets: 31% new, 37% replies, 25% retweets, 8% quotesOn 40 user lists1,644 followers",21
347,347.,"Joke Hermsen@JokeHermsenWriter/  philosopher: six novels & six essays on Time, Memory & Art, Ernst Bloch, Henri Bergson, Hannah Arendt, Simone Weil & Rosa Luxemburg zijspreekt.nlAmsterdam, The Netherlandsjokehermsen.nl12 years on TwitterRecent tweets: 6% new, 14% replies, 75% retweets, 6% quotesOn 107 user lists5,753 followers",20
348,348.,"Natasha McCarthy@ntshmccrthyPolicy,  philosophy, ethics in & for engineering, technology, science, data,  AI. Assoc Director of Policy @RAEngnews. Prev Data Policy @Royalsociety. My words.Londonamzn.to/XnfA8T11 years on TwitterRecent tweets: 21% new, 19% replies, 48% retweets, 12% quotesOn 39 user lists1,278 followers",20
349,349.,"PJ Mariano Capistrano@chipperpjGrappling  with postcoloniality. Mom, wife; PhD cand. in philosophy (responsibility, structural injustice, capability approach) @UNamur; teacher @AteneodeManilaUPhilippineslucid.essc.org.ph11 years on TwitterRecent tweets: 3% new, 22% replies, 67% retweets, 8% quotesOn 11 user lists1,119 followers",20
350,350.,"Laura F Belli@LauraFBelliLaura F Belli. Bioeticista / Dra. en Filosofía / UBA - Bioethicist / PhD in philosophy / University of Buenos Aires / 🐕 https://t.co/nG1Ke4C48OBuenos Aires, Argentinafb.com/BelliLauraF12 years on TwitterRecent tweets: 12% new, 33% replies, 45% retweets, 10% quotesOn 77 user lists5,374 followers",19
351,351.,"Kirsten J. Fisher@KirstenFisherAssistant Prof. Ethics and Global Governance. @usaskPolitics Books: Moral Accountability & International Criminal Law / Transitional Justice for Child Soldiersartsandscience.usask.ca/profile/KFishe…Google Scholar page11 years on TwitterRecent tweets: 18% new, 47% replies, 27% retweets, 8% quotesOn 44 user lists1,706 followers",18
352,352.,"Bleisch@BarbaraBleischPhilosophin.  Liebt Brunnenränder und Kippfiguren und Genauigkeit im Denken. Moderiert die #SternstundePhilosophie bei @srf. Kolumnistin beim @tagesanzeiger.Zürichbarbarableisch.ch8 years on TwitterRecent tweets: 27% new, 23% replies, 39% retweets, 11% quotesOn 102 user lists8,542 followers",17
353,353.,"Dr Elizabeth Bruton (she / her) 🏳️‍🌈@lizbrutonScience communication, cyclist, feminist, #LGBTQ. Comms+Engagement @UCDEarth. Former museum curator + historian of science esp women in STEM. All views my own.Dublinucd.academia.edu/ElizabethBruton10 years on TwitterRecent tweets: 3% new, 5% replies, 89% retweets, 2% quotesOn 125 user lists3,049 followers",17
354,354.,"Rebecca Ruth Gould@rrgouldGlobal poetics+politics | PI @balaghas @PoetryExile @globalsouths | Prof @artsatbham author @VersoBooks @yalepress | ✊academic freedom | Non-aligned leftistسرزمین شعر| земля поэзииlinktr.ee/rrgouldGoogle Scholar page9 years on TwitterRecent tweets: 16% new, 2% replies, 78% retweets, 4% quotesOn 28 user lists2,237 followers",17
355,355.,"Moira Pérez #MilicosNuncaMás@moirapezDocente-investigadora  en Filosofía Práctica y TeoríaQueer. Pron. 'ella' 😌 Prof & researcher in Practical Philosophy & QueerTheory. Fellow at @das_fiph. she/herHannoveraacademica.org/moira.perezGoogle Scholar page4 years on TwitterRecent tweets: 10% new, 36% replies, 38% retweets, 16% quotesOn 12 user lists1,636 followers",17
356,356.,"اسْمَاء@AsmaaSpectrum'رتابة  لا حد لها من الخارج، وثورة لا حد لها من الداخل'. A head full of dreams,  PhD in ethical philosophy and hermeneutics. Lecturer at @BenhaUniveristyEgypt bu.edu.eg/portal/index.p…Google Scholar page12 years on TwitterRecent tweets: 26% new, 59% replies, 9% retweets, 5% quotesOn 6 user lists1,107 followers",17
357,357.,"Rabbi Dr Laura Duhan-Kaplan 🇨🇦🇺🇸🕊@OnSophiaStreetRabbi teaching at a Christian seminary. Recovering philosopher. Reluctant singer. Recent books: Biblical Animals amzn.to/3j1ftQD, Reconciliation bit.ly/2Gi91mVVancouver, Canadasophiastreet.com10 years on TwitterRecent tweets: 18% new, 52% replies, 19% retweets, 11% quotesOn 46 user lists1,866 followers",14
358,358.,"Kelly Oliver@KellyOliverBookAuthor  of the Jessica James Mysteries, Pet Detective Mysteries, and Fiona Figg  Mysteries #kellyoliverbooks #jessicajamesmysteries #writer #iwrite #mysteriesNashville, TNkellyoliverbooks.com7 years on TwitterRecent tweets: 91% new, 3% replies, 7% retweets, 0% quotesOn 27 user lists1,653 followers",14
359,359.,"Natalie Brender@NatalieBrenderPublic policy wonk, writer, opera philosopher. Also politics, public health, pluralism, global affairs, arts.Ottawa11 years on TwitterRecent tweets: 12% new, 53% replies, 19% retweets, 17% quotesOn 61 user lists1,653 followers",14
360,360.,"Roxana Rodriguez Ortiz@roxrodriProfessor  of Philosophy at @UACM I Podcastera en #FilosofiaATodoRocxs I Léanme en  @Amazon I Fundé @Efronterizos & #EcologíaDelAfecto ~ https://t.co/5L5LxsK0GQWordwideroxanarodriguezortiz.comGoogle Scholar page12 years on TwitterRecent tweets: 60% new, 23% replies, 3% retweets, 13% quotesOn 21 user lists1,282 followers",14
