0,#,Account,Peer followers
846,846.,"Shannon E. French🌻@SEFrenchPhilosophy  Prof, International Ethics Center Director, Author of Code of the Warrior. Military Ethics, Ethics & Technology. Views are only mine; RTs are not Es.Cleveland, Ohio, USAcase.edu/inamori/13 years on TwitterRecent tweets: 6% new, 40% replies, 35% retweets, 19% quotesOn 57 user lists4,001 followers",62
847,847.,"judith simon@jud1ths1monProfessor for Ethics in Information Technologies @ University of HamburgHamburg, Deutschlandinf.uni-hamburg.de/en/inst/ab/eit…8 years on TwitterRecent tweets: 8% new, 53% replies, 29% retweets, 10% quotesOn 67 user lists2,179 followers",61
848,848.,"Quentin Ruyant@q_ruyPostdoc  en philosophie des sciences (MSCA) -- Empiriste modal / pragmatiste -- Je retweet ce qui m'intéresse, principalement (pas fan des dramas)Madrid, Españaphilosophiedessciences.blogspot.com11 years on TwitterRecent tweets: 2% new, 71% replies, 25% retweets, 2% quotesOn 50 user lists1,385 followers",61
849,849.,"Jonathan Greig@jabgreigAncient/Byzantine  philosophy postdoc at @HIW_KULeuven. Fan of all things (and—yes—the one), restless sojourner, kindly gadfly, ponderer of surrealities, etc.Leuven, Belgiummosesatticizing.com12 years on TwitterRecent tweets: 20% new, 49% replies, 15% retweets, 15% quotesOn 24 user lists1,079 followers",61
850,850.,"Meena Dhanda@DhandaMeenaProfessor  of Philosophy & Cultural Politics @wlv_uni; views personal; anti-casteism, anti-racism, anti-chauvinism; PI supervising @CasteFreeH2020 #AndolanJiviWolverhampton, Englandresearchers.wlv.ac.uk/M.DhandaGoogle Scholar page8 years on TwitterRecent tweets: 18% new, 19% replies, 53% retweets, 11% quotesOn 14 user lists2,049 followers",60
851,851.,"Karim Jebari@KarimJebariPhilosopher and researcher at the Institute for Futures Studies, Stockholm. I like to think about space.Stockholmpolitiskfilosofi.comGoogle Scholar page13 years on TwitterRecent tweets: 4% new, 75% replies, 17% retweets, 4% quotesOn 74 user lists4,677 followers",59
852,852.,"elisa freschi@elisa_freschiSanskrit (and) philosophy. Permanently in beta phase. Blogging at elisafreschi.com and indianphilosophyblog.org. Articles at academia.edu Here to learn & shareelisafreschi.comGoogle Scholar page2 years on TwitterRecent tweets: 5% new, 89% replies, 3% retweets, 3% quotesOn 24 user lists2,125 followers",59
853,853.,"Emily Ryall@emilyryallPhilosopher  of sport, play and games. Official job title: 'Reader in Applied Philosophy'. Author of Philosophy of Sport: Key Questions.Forest of Deanemilyryall.netGoogle Scholar page13 years on TwitterRecent tweets: 18% new, 41% replies, 23% retweets, 18% quotesOn 63 user lists1,576 followers",59
854,854.,"Edward Butler@EPButlerPolytheist,  Ph.D. in Philosophy. Director, Center for Global Polytheist & Indigenous Traditions at Indic Academy. Justice to all beings, reverence  to all Gods.henadology.wordpress.comGoogle Scholar page12 years on TwitterRecent tweets: 14% new, 54% replies, 21% retweets, 10% quotesOn 93 user lists7,153 followers",58
855,855.,"merce garcia F@merceg1Professora de filosofiaManresa ( Barcelona)10 years on TwitterRecent tweets: 5% new, 5% replies, 91% retweets, 0% quotesOn 42 user lists2,366 followers",58
856,856.,"Dr Áine Mahon@AineMarieMahonLecturer  in Philosophy of Education at University College Dublin, writing on Higher Education in the Irish & international context. Dúil agam sa Ghaeilge.people.ucd.ie/aine.mahon1 year on TwitterRecent tweets: 2% new, 65% replies, 31% retweets, 2% quotesOn 9 user lists1,865 followers",58
857,857.,"Emily Qureshi-Hurst@equreshihurstJunior  Research Fellow at @PembrokeOxford @UniofOxford | Science and Religion |  Philosophy of Religion | Philosophy of Time & more.. | she/her 🏳️‍🌈Oxford, Englandphilosophy.ox.ac.uk/people/emily-q…Google Scholar page4 years on TwitterRecent tweets: 50% new, 25% replies, 23% retweets, 3% quotesOn 15 user lists1,441 followers",58
858,858.,"chris oldfield ن@chrisoldfieldwriting  a PhD @KingsPhilosophy dept. My research focuses on interpretations of physicalism and all God has to do with it. I also teach @FordhamNYC London Centrelondon7 years on Twitter until last tweet (2018-Jul-09)Recent tweets: 44% new, 33% replies, 19% retweets, 5% quotesOn 53 user lists1,249 followers",58
859,859.,"Glenney@brianglenneyPhilosopher UNorwich | Skateboarder TheWorble | Graffiti BTMob/Accessible Icon | New volume on Molyneux's Question out now!Burlington, VTbrianglenney.comGoogle Scholar page11 years on TwitterRecent tweets: 33% new, 47% replies, 7% retweets, 12% quotesOn 14 user lists1,045 followers",58
860,860.,"Ian Marcus Corbin@ianmcorbin1Philosophy & science of belonging @HarvardMed / @HNet_Initiative & @capita_social. Essays all over. Writing a book for @yalepressCambridge, MAianmarcuscorbin.com/writing6 years on TwitterRecent tweets: 12% new, 33% replies, 43% retweets, 12% quotesOn 43 user lists3,266 followers",57
861,861.,"David Brax@davidbraxUnsolicited witticisms.Stockholm, Swedendavid.brax.nu12 years on TwitterRecent tweets: 39% new, 46% replies, 5% retweets, 10% quotesOn 39 user lists1,827 followers",57
862,862.,"Dale Tuggy@DaleTuggyFormer Professor of Philosophy, current philosopher of religion and analytic theologian.Tennessee, USAflow.page/daletuggyGoogle Scholar page7 years on TwitterRecent tweets: 15% new, 53% replies, 29% retweets, 2% quotesOn 39 user lists1,660 followers",57
863,863.,"Daniel Susser@internetdanielphilosopher  working on ethical, political, and policy issues in tech // assistant prof @ISTatPennState + @RockEthicsPSU // tweets expiredanielsusser.info13 years on TwitterRecent tweets: 14% new, 43% replies, 37% retweets, 6% quotesOn 33 user lists1,619 followers",57
864,864.,"Manuel Sánchez@msmatitoProfesor de Filosofía9 years on TwitterRecent tweets: 70% new, 3% replies, 25% retweets, 2% quotesOn 43 user lists1,304 followers",57
865,865.,"Modern-Day Stoic@StoicThoughtsClassics. Philosophy. I wrote my thesis on the #Stoicism of #Epictetus. #StoicUSA10 years on TwitterRecent tweets: 57% new, 27% replies, 15% retweets, 2% quotesOn 298 user lists13,220 followers",56
866,866.,"Wolfram Eilenberger@WEilenbergerSchriftsteller,  Philosoph: 'Zeit der Zauberer' (2018), „Feuer der Freiheit' (2020); u.a. Moderator Sternstunde Philosophie @srfkultur u. Team @phil_cologne7 years on TwitterRecent tweets: 54% new, 10% replies, 33% retweets, 3% quotesOn 148 user lists8,202 followers",56
867,867.,"Amin Nayebpour (مابوص و مشابوص)@AminNayebpourDoctoral  Candidate of Philosophy at Albert-Ludwigs-Universität Freiburg | Political Philosophies of Antiquity (Aristotle to Farabi)11 years on TwitterRecent tweets: 3% new, 91% replies, 1% retweets, 4% quotesOn 21 user lists2,612 followers",56
868,868.,"Tom Morris@TomVMorrisI  bring real wisdom to business and leadership teams with fun and energy in virtual talks and books. Philosopher. Novelist. 30 books. TomVMorris.comNorth CarolinaTomVMorris.com13 years on TwitterRecent tweets: 26% new, 64% replies, 9% retweets, 0% quotesOn 205 user lists7,250 followers",55
869,869.,"Jocelyn Maclure@jocelynmaclurePhilosophy  Professor, McGill University/Jarislowsky Chair in Human Nature and Technology/Président, Commission de l’éthique en science et en technologieMontréaljocelynmaclure.com8 years on TwitterRecent tweets: 16% new, 69% replies, 11% retweets, 5% quotesOn 42 user lists2,397 followers",55
870,870.,"Philosopher Always Running™ 🏃🏽@chrispanzaRunner🏃26.2  1x(3:59), 13.1 3x(1:46), Philosophy Prof 🤔, Dad/Hubby, Baker/Cook 🍰, Author (Ethics and Existentialism for Dummies), Centrist Lefty/Anti-TrumpMissouri, USAchrispanza.substack.comGoogle Scholar page11 years on TwitterRecent tweets: 12% new, 43% replies, 1% retweets, 44% quotesOn 29 user lists2,363 followers",55
871,871.,"Will Buckingham@willbuckinghamWriter.  Unexpectedly cheerful philosopher. Latest book, HELLO, STRANGER (Granta). Radio4 Book of the Week Aug '21. Agent @EmF1nn. #逍遙遊Dundee & sometimes elsewhere.willbuckingham.com13 years on TwitterRecent tweets: 30% new, 56% replies, 8% retweets, 6% quotesOn 102 user lists2,887 followers",54
872,872.,"Aníbal Monasterio Astobiza@anibalmastobizaFormer Basque Government postdoctoral researcher. Postdoctoral researcher. VITA STUDIORUMBilbao/Oxford/Bostonsapereaudere.blogspot.com13 years on TwitterRecent tweets: 8% new, 5% replies, 86% retweets, 0% quotesOn 291 user lists2,547 followers",54
873,873.,"Vittorio Bufacchi@BufacchiVPhilosophy: UCC v.bufacchi@ucc.ie Author: Everything Must Change (2021) Labour Party: Policy Unit & Chairperson, Cork North Central vittoriobufacchi.comCork, Irelandvittoriobufacchi.comGoogle Scholar page4 years on TwitterRecent tweets: 32% new, 49% replies, 5% retweets, 12% quotesOn 14 user lists1,752 followers",54
874,874.,"Diane O'Leary, PhD@DianeOLearyPhilosophy  of medicine/phil of mind/bioethics. Rct visiting faculty @Center4PhilSci & @RotmanPhilo. Smtms disabled by chronic disease. Happy #IndependentScholarPrettyHowTowndianeoleary.com12 years on TwitterRecent tweets: 1% new, 93% replies, 3% retweets, 3% quotesOn 17 user lists1,673 followers",54
875,875.,"Chris Bateman@SpiralChris80+  games as designer/narrative designer, with a side of philosopher, exploring aesthetics and ethics. Latest book: The Virtuous Cyborg - cyborg.ihobo.comManchester, UKonlyagame.typepad.com10 years on TwitterRecent tweets: 59% new, 35% replies, 6% retweets, 0% quotesOn 131 user lists3,688 followers",53
876,876.,"Prof. Rupert Read@RupertReadEarth-defender.  Born 323.87ppm #CO2. Philosophy Prof, UEA. New book, Parents for a Future, OUT NOW. Also at @greenrupertread, my much larger POLITICAL account.Norwich, Englandrupertread.netGoogle Scholar page14 years on TwitterRecent tweets: 2% new, 2% replies, 92% retweets, 4% quotesOn 200 user lists7,599 followers",52
877,877.,"Maija-Riitta Ollila@MrollilaPhilosopher, non-fiction writer.Espoo, Finland7 years on TwitterRecent tweets: 13% new, 23% replies, 59% retweets, 5% quotesOn 62 user lists3,380 followers",52
878,878.,"Dr. Beck Pitt@BeckPitt@OER_Hub researcher and philosopher based @IETatOU @OpenUniversity. Current projects @GOGN_OER, EMC-LM & #TIDEMyanmar.UKiet.open.ac.uk/people/beck.pi…11 years on TwitterRecent tweets: 5% new, 4% replies, 87% retweets, 5% quotesOn 248 user lists3,147 followers",52
879,879.,"Jason Lee Byas ⚑@jasonleebyasRadical  liberal, philosophy grad student, still straight edge in 2022. I also write for @c4ssdotorg. There is no authority but yourself.Norman, OK & Ann Arbor, MI13 years on TwitterRecent tweets: 8% new, 57% replies, 35% retweets, 1% quotesOn 59 user lists2,188 followers",52
880,880.,"Charles Weijer@charlesweijerResearch ethicsLondon, Canadacharlesweijer.com9 years on TwitterRecent tweets: 16% new, 5% replies, 77% retweets, 2% quotesOn 21 user lists1,586 followers",52
881,881.,"Antonio Dieguez@AJDieguezProfesor en la Universidad de Málaga. Me dedico a la filosofía de la biología y a la filosofía de la tecnología.webpersonal.uma.es/~DIEGUEZ/inici…Google Scholar page10 years on TwitterRecent tweets: 24% new, 15% replies, 56% retweets, 4% quotesOn 75 user lists5,206 followers",51
882,882.,"Catherine Pickstock@pickstockcPhilosophy of Religion at Cambridge3 years on TwitterRecent tweets: 53% new, 15% replies, 21% retweets, 11% quotesOn 36 user lists3,767 followers",51
883,883.,"Carl Baker@carlbakerStats  researcher for @commonslibrary working mostly on NHS/health and maps/geography. Personal tweets on maps, stats, dataviz & games.Croydondrive.google.com/drive/folders/…Google Scholar page13 years on TwitterRecent tweets: 15% new, 27% replies, 49% retweets, 8% quotesOn 127 user lists3,751 followers",51
884,884.,"Didier Moulinier@DidierMoulinierEcrivain et professeur de philosophie. Psychanalyse, Lacan, Laruelle.7switch.com/fr/list/author…12 years on TwitterRecent tweets: 33% new, 1% replies, 65% retweets, 0% quotesOn 120 user lists2,621 followers",51
885,885.,"CynthiaRogandeRamire@CynthiaRogandeRPhilosophy,  interested in a better world. I study the good (art, compassion, empathy) & the bad (violence, rape, narcissism).9 years on TwitterRecent tweets: 0% new, 0% replies, 100% retweets, 0% quotesOn 14 user lists2,280 followers",51
886,886.,"pedro bravo@93pedrobravofilosofia,  desabafos e autoengano | divulgação no 'Filosofia a sério' (link abaixo) | PhD candidate in Phil. of Science at @usponline | he/himlinktr.ee/filosofiaaserioGoogle Scholar page2 years on TwitterRecent tweets: 12% new, 43% replies, 42% retweets, 2% quotesOn 18 user lists1,671 followers",51
887,887.,"Dr. Jane Clare Jones 🦕@janeclarejonesWriter.  Philosopher. Feminist. Princeologist. Daughter of the witches they forgot to burn. @fem_thought. @radical_notion. #ProfessionalAntiBullshitMerchantBrighton, UKjaneclarejones.comPatreon page11 years on TwitterRecent tweets: 2% new, 58% replies, 29% retweets, 11% quotesOn 242 user lists52,375 followers",50
888,888.,"Dr. Jussi Jylkkä@JylkkaJussiPhilosopher  (PhD) and psychologist (docent) interested in consciousness, cognition,  psychedelics and cannabis, Zen, and transcendental philosophy.Turku, Suomiyoutube.com/channel/UCDfGI…Google Scholar pageVideo channel5 years on TwitterRecent tweets: 28% new, 45% replies, 13% retweets, 15% quotesOn 30 user lists1,799 followers",50
889,889.,"p(Alex Kiefer | everything else)@exilefakerA  Twitter bio just has to be perfect...it's everything. I can't do it • philosophy: https://t.co/2up9iC9U4s • music: https://t.co/LXzQFDzVnr • also dadNew York CityGoogle Scholar page13 years on TwitterRecent tweets: 20% new, 63% replies, 5% retweets, 13% quotesOn 30 user lists1,168 followers",50
890,890.,"Tarcisio Pequeno@tpequenoTenho sido professor toda a minha vida mas o que de fato sou é estudande.Fortaleza - Brasilthcpequeno.blogspot.com12 years on TwitterRecent tweets: 1% new, 8% replies, 75% retweets, 16% quotesOn 99 user lists8,096 followers",49
891,891.,"Craig Warmke@craigwarmkeAssistant Professor of Philosophy, NIU. #bitcoin writer, @AtomicFinance. 1/3 of resistance.money, a bitcoin research collective.craigwarmke.comGoogle Scholar page2 years on TwitterRecent tweets: 9% new, 71% replies, 7% retweets, 12% quotesOn 134 user lists4,681 followers",49
892,892.,"Yuko Murakami@yukoimPhilosopher  of information interested in science and society. Laid-back style. Executive member of several phil assoc's in Japan. 村上祐子．睡眠死守．District of ethnic restaurantsresearchmap.jp/read0140800/12 years on TwitterRecent tweets: 10% new, 14% replies, 68% retweets, 8% quotesOn 218 user lists3,232 followers",49
893,893.,"Byron Williston@ClimatePhiloPhilosopher writing about Anthropocene technologies, nationalism, planetary health, environmental policy and the #ClimateCrisis.Kitchener Waterloobyronwilliston.comGoogle Scholar page9 years on Twitter until last tweet (2021-Mar-15)Recent tweets: 19% new, 43% replies, 23% retweets, 15% quotesOn 62 user lists1,291 followers",49
894,894.,"Dr. Angela Roothaan@AngelaRoothaanResearch:  African & Intercultural Philosophy, Spirit Ontologies, Politics of Epistemology | Teaching @VUamsterdam | Blog practicing involved philosophy //angelaroothaan.wordpress.com8 years on TwitterRecent tweets: 13% new, 28% replies, 28% retweets, 31% quotesOn 14 user lists1,237 followers",49
895,895.,"Carina Prunkl@carinaprunklResearch Fellow @EthicsInAI @UniofOxford | AI Ethics and Policy | Philosophy and Physicscarinaprunkl.comGoogle Scholar page3 years on TwitterRecent tweets: 22% new, 25% replies, 31% retweets, 22% quotesOn 33 user lists1,210 followers",49
896,896.,"Auguste Nahas@AugusteNahasPhD  @UofT_IHPST. Research in History and Philosophy of Biology, especially questions concerning organisms & agency in the 20th and 21st centuryToronto, Canada7 years on TwitterRecent tweets: 6% new, 65% replies, 27% retweets, 2% quotesOn 14 user lists1,124 followers",49
897,897.,"James K.A. Smith@james_ka_smithPhilosophy,  Calvin University; editor in chief, @Image_Journal; author HOW TO INHABIT TIME (2022) + ON THE ROAD WITH SAINT AUGUSTINE + YOU ARE WHAT YOU LOVEGrand Rapids, MIjameskasmith.com10 years on TwitterRecent tweets: 36% new, 41% replies, 11% retweets, 12% quotesOn 625 user lists37,715 followers",48
898,898.,"TakingHayekSeriously🧨@FriedrichHayekTaking  Hayek Seriously = the graduate seminar on the science and philosophy of  Friedrich Hayek you cannot receive at Harvard or Stanford13 years on TwitterRecent tweets: 20% new, 39% replies, 27% retweets, 13% quotesOn 849 user lists18,968 followers",48
899,899.,"mtoscano@mtscano'Surely half the pleasure of life is sardonic comment on the passing show'. Philosophy and a bit of fun on the passing show.uma.academia.edu/ManuelToscano7 years on TwitterRecent tweets: 40% new, 42% replies, 9% retweets, 8% quotesOn 65 user lists2,837 followers",48
900,900.,"Jeremy Snyder@jeremycsnyderProfessor @FHS_SFU @SFU. Bioethics, public health ethics, crowdfunding. Exploiting Hope global.oup.com/academic/produ…Vancouver, BCsfu.ca/fhs/about/peop…Google Scholar page12 years on TwitterRecent tweets: 28% new, 29% replies, 35% retweets, 8% quotesOn 37 user lists1,994 followers",48
901,901.,"Jeroen van den hoven@hoven_jProfessor Delft University of Technology; Ethics and TechnologyDelftjeroenvandenhoven.nlGoogle Scholar page10 years on TwitterRecent tweets: 36% new, 3% replies, 59% retweets, 3% quotesOn 70 user lists1,927 followers",48
902,902.,"corrado sinigaglia@corradosinigaglI'm a philosopher but I like spending some time in the lab @CognitionIn @LaStatale @acmilan 🔴⚫️ fanMilan, LombardyGoogle Scholar page9 years on TwitterRecent tweets: 4% new, 62% replies, 33% retweets, 1% quotesOn 20 user lists1,015 followers",48
903,903.,"Duncan Ivison@DuncanivisonPolitical  philosopher @ Uni Sydney. Sydneysider. Montréalais. Habs fan. 🇦🇺 🇨🇦  Previously Deputy Vice Chancellor (Research) 2015-22; Dean of FASS 2010-2015…Sydney, Australiasydney.edu.au/arts/staff/pro…10 years on TwitterRecent tweets: 22% new, 3% replies, 63% retweets, 12% quotesOn 62 user lists3,248 followers",47
904,904.,"Sarah Lilly (Heidt) Eaton@sarahlillyheidtFormer professor of religion and philosophy, former seminary Dean, destination expertHashemite Kingdom of Jordanlinkedin.com/in/sarah-eaton…11 years on TwitterRecent tweets: 23% new, 35% replies, 38% retweets, 5% quotesOn 56 user lists1,543 followers",47
905,905.,"Emily Lawson@emilylawsonpoetPhD  student @ubcphilosophy. Indian philosophy, aesthetics, death. Poems: @SixthFinch @thrushjournal @IndianaReview etc Fiction: @BoothAJournal. Cancer survivor.Vancouver, British Columbia6 years on TwitterRecent tweets: 8% new, 28% replies, 50% retweets, 14% quotesOn 10 user lists1,218 followers",47
906,906.,"joana rita sousa 🦄 💩💎 (she/her/ela/a)@JoanaRSSousa💬 filósofa | philosopher 🧠 perguntóloga | questionlogist 🧩 @filocri_p4c 🎢 fundadora e moderadora 👉 #twitterchatpt 📱 live tweeterinfo@joanarita.eulinktr.ee/joanarssousa13 years on TwitterRecent tweets: 43% new, 33% replies, 21% retweets, 3% quotesOn 407 user lists18,030 followers",46
907,907.,"Hermes Varini, PhD@HermesVariniPhilosopher, Writer, Artist, Medievalist, Prize-Winner.hcommons.org/members/hervar…Google Scholar page12 years on TwitterRecent tweets: 100% new, 0% replies, 0% retweets, 0% quotesOn 20 user lists2,039 followers",46
908,908.,"Juan Antonio Negrete@juanantonionegrFilósofo,  filomúsico, filopoeta, profesor de filosofía. No creo en la educación del Esfuerzo y la Excelencia, ni en la moral de la Culpa y la Penadialecticayanalogia.blogspot.com.es10 years on TwitterRecent tweets: 11% new, 32% replies, 57% retweets, 1% quotesOn 46 user lists1,943 followers",46
909,909.,"Sabrina Little@sabrinablittlePhilosopher  at Morehead State. Ethics and Moral Psych. Trail & Ultra Runner for  @HOKA. 5x National Champion. World Silver Medalist. Connoisseur of Toothpastes.Morehead, KYsabrinalittle.com11 years on TwitterRecent tweets: 32% new, 55% replies, 8% retweets, 4% quotesOn 130 user lists4,940 followers",45
910,910.,"MarnieHW@Marnie_HWDVC  Research & Enterprise, @UniversitySA. Honorary Professor @ANU. History/philosophy. Current book projects: Machine-Made Histories; History from Loss.Adelaide, Kaurna Countrypeople.unisa.edu.au/Marnie.Hughes-…Google Scholar page8 years on TwitterRecent tweets: 14% new, 45% replies, 36% retweets, 6% quotesOn 64 user lists4,321 followers",45
911,911.,"Peter Jaworski 🇨🇦@petermjaworskiEthicist. Canadian. Faculty, @MSBGU. I mostly research and tweet about paid plasma. Projects: donationethics.com and plasmaforall.orgWashington, DCexplore.georgetown.edu/people/pj87/13 years on TwitterRecent tweets: 2% new, 57% replies, 22% retweets, 19% quotesOn 93 user lists2,252 followers",45
912,912.,"Gloria Origgi@gloriaoriggiParis based philosopher, writer. Researcher at CNRS, Institut NicodFrancegloriaoriggi.blogspot.comGoogle Scholar page13 years on TwitterRecent tweets: 44% new, 21% replies, 35% retweets, 2% quotesOn 63 user lists1,482 followers",45
913,913.,"David Grunner@dwgrunnerignatian  educator teaching literature and philosophy in nyc | chair at @RegisEnglish | formerly a budding academic & merleau-ponty scholar |  here for the poemsNew York, NY10 years on TwitterRecent tweets: 40% new, 39% replies, 10% retweets, 11% quotesOn 36 user lists1,196 followers",45
914,914.,"Michael Hand@michaelhand571Professor of Philosophy of Education @unibirmingham. Author of A Theory of Moral Education routledge.com/p/book/9781138…Birmingham, UKbirmingham.ac.uk/staff/profiles…Google Scholar page12 years on TwitterRecent tweets: 10% new, 7% replies, 77% retweets, 4% quotesOn 24 user lists1,034 followers",45
915,915.,"Nathan Cofnas@nathancofnasI work in the philosophy of biology and ethicsnathancofnas.com5 years on TwitterRecent tweets: 14% new, 71% replies, 8% retweets, 6% quotesOn 106 user lists7,130 followers",44
916,916.,"Josette Daemen@JosetteDaemenvery  political philosopher | phd student @PolSciLeiden | graduated @UniofOxford | editor @filosofieblog | works on the ethics of security/zekerheidLeiden, Den Haag, Maastrichtuniversiteitleiden.nl/en/staffmember…Google Scholar page2 years on TwitterRecent tweets: 8% new, 65% replies, 20% retweets, 6% quotesOn 25 user lists3,655 followers",44
917,917.,"Charles Foster@tweedpipeAuthor:  desperately trying to work out what we're doing in this strange, wonderful place. Latest books:'Being a Human', 'The Screaming Sky', and 'Being a Beast'Oxford and the Peloponnesecharlesfoster.co.uk13 years on TwitterRecent tweets: 4% new, 13% replies, 78% retweets, 4% quotesOn 99 user lists3,471 followers",44
918,918.,"Scott Hershovitz@shershovitzprofessor  @umichlaw and @umphilosophy, editor @legaltheory, author of NASTY, BRUTISH, and SHORT: Adventures in Philosophy with My Kids @penguinpressAnn Arbor, MIscotthershovitz.com8 years on TwitterRecent tweets: 16% new, 67% replies, 9% retweets, 8% quotesOn 22 user lists3,145 followers",44
919,919.,"Katerina Katarina Kolozova@kkolozovateacherParis, France12 years on TwitterRecent tweets: 58% new, 22% replies, 13% retweets, 8% quotesOn 42 user lists2,508 followers",44
920,920.,"La nada nadea.@jzamorabonillaMis tuits vuelven enseguida a la nada de donde salieron // El de la foto es KaaperFilosofía de la ciencia. UNED.escritossobregustos.blogspot.com12 years on TwitterRecent tweets: 47% new, 41% replies, 7% retweets, 5% quotesOn 296 user lists11,225 followers",43
921,921.,"Jeremy Neill@DrJeremyNeillWriter, Teacher, Husband, and Assistant Professor of Philosophy at Houston Baptist University5 years on Twitter until last tweet (2019-Jul-08)Recent tweets: 95% new, 4% replies, 1% retweets, 0% quotesOn 69 user lists8,824 followers",43
922,922.,"Richard Gipps@DrGippsphilosopher  (by tutelage), clin psychol (by training), psychotherapist (by trade). all views my employer’s; re-tweets imply undying fealty; i/me.Oxford, Englandclinicalphilosophy.blogspot.com1 year on TwitterRecent tweets: 7% new, 75% replies, 14% retweets, 4% quotesOn 31 user lists1,928 followers",43
923,923.,"Marta Tafalla@TafallaMartaWriting  & teaching Philosophy at Universitat Autònoma de Barcelona: environmental aesthetics, environmental ethics, rewilding, animal rights, human rights.Earth, Solar System, Milky Waygent.uab.cat/marta.tafalla/Google Scholar page9 years on TwitterRecent tweets: 14% new, 7% replies, 76% retweets, 4% quotesOn 219 user lists8,903 followers",42
924,924.,"Bryan Mukandi@bryanmukandiAfrican. Australian. Philosophy. Health humanities. Medicine. My research revolves around the well-being of the marginalised.Brisbane, Queenslandbryanmukandi.comGoogle Scholar page3 years on TwitterRecent tweets: 5% new, 21% replies, 72% retweets, 3% quotesOn 17 user lists1,567 followers",42
925,925.,"Soraj Hongladarom@SonamsangboPhilosopher and applied ethicist. Author of The Ethics of AI and Robotics: A Buddhist Viewpoint, Lexington Books, 2020.Bangkok, Thailandrowman.com/ISBN/978149859…Google Scholar page13 years on TwitterRecent tweets: 31% new, 7% replies, 54% retweets, 9% quotesOn 126 user lists24,713 followers",41
926,926.,"Prof. Gary Francione@garylfrancioneProfessor,  Rutgers University & University of Lincoln (UK). Seeking to abolish  animal exploitation through creative, nonviolent vegan education & advocacy.New Jerseyabolitionistapproach.com12 years on TwitterRecent tweets: 68% new, 33% replies, 0% retweets, 0% quotesOn 476 user lists13,967 followers",41
927,927.,"Sam Rocha 🇺🇦 pacem in terris, fratelli tutti@SamRochadotcomCome, follow me, and I will give you tweets. Substack: samrocha.substack.comVancouver, BCsamrocha.comGoogle Scholar page10 years on TwitterRecent tweets: 8% new, 71% replies, 19% retweets, 2% quotesOn 136 user lists7,032 followers",41
928,928.,"Jorge Fabra Zamora@jorgefabrazLegal Philosopher interested in law in state and non-state (international/transnational/global) communities. Ph.D.@McMasterU LLB @uni_cartagenaHamilton, Ontario - Canadajorgefabraz.net13 years on TwitterRecent tweets: 46% new, 13% replies, 39% retweets, 2% quotesOn 10 user lists1,556 followers",41
929,929.,"Sofia Blanco Sequeiros 🇺🇦@sofia_blancosTieteenfilosofiaa,  kirjallisuushommia ja urheilua || PhD student in philosophy @helsinkiuni, scientific evidence and public policy || writer || she/herHelsinkisofiabla.comGoogle Scholar page8 years on TwitterRecent tweets: 5% new, 50% replies, 36% retweets, 9% quotesOn 11 user lists1,441 followers",41
930,930.,"Evelien Geerts, PhD@EGeertsPhDMultidisciplinary  philosopher (PhD @ucsc). Postdoc @unibirmingham. Political philosophy/epistemology/new materialisms/STS. Meme & kitten & ADHD queen. She/they.Antwerp, Belgiumlinktr.ee/egeertsGoogle Scholar page13 years on TwitterRecent tweets: 37% new, 6% replies, 51% retweets, 6% quotesOn 13 user lists1,268 followers",41
931,931.,"Juan R. Loaiza@JuanRLoaizaFilosofía de las emociones y de la psicología. Docente — U. del Rosario Todos los tweets son personales. ES/ENBogotá, Colombiajuanrloaiza.github.io/academic/Google Scholar page11 years on TwitterRecent tweets: 18% new, 63% replies, 9% retweets, 10% quotesOn 25 user lists1,213 followers",41
932,932.,"Guido Caniglia 🏳️‍🌈@GuidoCanigliaPhilosopher  of science working in inter and trans-disciplinary sustainability science/education. Director @KLIAustria. Lover of diversity/evolution. He/himVienna, Austria kli.ac.at/en/people/kli_…Google Scholar page8 years on TwitterRecent tweets: 0% new, 8% replies, 91% retweets, 1% quotesOn 8 user lists1,025 followers",41
933,933.,"miguel ángel quintana paz@quintanapazSegún  https://t.co/5JbQ3bwVyE soy un peligro social. Según El Confidencial soy el filósofo de la sobrina de Le Pen. Pero yo solo vine aquí a hablar  de Wittgenstein.Madrid y Salamanca, Spainquintanapaz.esGoogle Scholar page12 years on TwitterRecent tweets: 14% new, 67% replies, 11% retweets, 8% quotesOn 537 user lists65,018 followers",40
934,934.,"Roman Krznaric@romankrznaricPublic philosopher, author, founder @empathymuseum. Books: THE GOOD ANCESTOR, EMPATHY, CARPE DIEM REGAINED. TED talk: tinyurl.com/y6779czdromankrznaric.com12 years on TwitterRecent tweets: 10% new, 69% replies, 15% retweets, 6% quotesOn 432 user lists17,889 followers",40
935,935.,"Fiona Fidler@fidlerfmMetascience @MetaMelb * history & philosophy of science * conservation decision making * @replicats project * my own viewsMelbourne, Australiametamelb.orgGoogle Scholar page12 years on TwitterRecent tweets: 7% new, 47% replies, 33% retweets, 12% quotesOn 55 user lists2,372 followers",40
936,936.,"Dan Little@dlittle30Philosopher  of social science; politics and social justice in the United States, China, southeast Asia. Special concerns about racial justice.Michiganunderstandingsociety.blogspot.comGoogle Scholar page13 years on TwitterRecent tweets: 64% new, 9% replies, 5% retweets, 22% quotesOn 192 user lists2,210 followers",40
